Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Negative feedback from users: Hide all,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Matched Audience Targeting Consumption (Video Click)
1.22111E+17,6.15844E+13,Juankada Evo,"When EVO teams up with the co-host,
alam mo nang SOLID ang VIBES! 😎

FOLLOW our page to MANIFEST your LUCK!

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaEvo #Juankadageof #Juankadasabbies #fyp #followers #FollowTheFun #AllInSaSaya #PHContent Juan365 Studios  Juan365",,0,1/10/2026 5:00,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02m7r5VHwT7krgrqwFH6Dm3HNGzbmdpgfozapYoZmr2p3DUGAB9MnohE7ZNQsL8hNal&id=61584432221426,0,0,Photos,,,,,Lifetime,601,240,20,12,3,5,,21,15,6,,,,,,,
1.22111E+17,6.15844E+13,Juankada Evo,"That “WHO'S THAT GIRL” vibes🎶

Anong name ng pretty girl na kasama ko?

FOLLOW our page and SHARE this post..

#Juan365Studios #Juan365 #ALLINJUANLIVE #juankadahost #juankadaevo #juanababesena #fypシ #followersreels #followthefun #allinsasaya #phcontent #dancechallenge","That “WHO'S THAT GIRL” vibes🎶

Anong name ng pretty girl na kasama ko?

FOLLOW our page and SHARE this post..

#Juan365Studios #Juan365 #ALLINJUANLIVE #juankadahost #juankadaevo #juanababesena #fypシ #followersreels #followthefun #allinsasaya #phcontent #dancechallenge",15,1/10/2026 18:29,N/A,https://www.facebook.com/reel/864202993191587/,0,0,Videos,,,,,Lifetime,1295,369,43,25,16,2,,21,,20,1,8898.056,10.605,0,0,0,
1.22112E+17,6.15844E+13,Juankada Evo,"Wait back to the future, wait ballin hopping on this trend with Juanababe Sena!

React ""❤️"" for more collaboration with Baby Girl Sena!

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaEvo #juanababesena #fyp #followers #FollowTheFun #AllInSaSaya #PHContent #dancechallenge Juan365 Live Stream Juan365 Juan365 Studios","Wait back to the future, wait ballin hopping on this trend with Juanababe Sena!

React ""❤️"" for more collaboration with Baby Girl Sena!

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaEvo #juanababesena #fyp #followers #FollowTheFun #AllInSaSaya #PHContent #dancechallenge @[61569634500241:2048:Juan365 Live Stream] @[61572881214141:2048:Juan365] @[61578179424678:2048:Juan365 Studios]",12,1/11/2026 3:00,mixed,https://www.facebook.com/reel/3879754992324876/,1,0,Videos,,,,,Lifetime,350,189,20,17,2,1,,10,,10,,1985.622,8.378,0,0,0,
1.22112E+17,6.15844E+13,Juankada Evo,"BUTTERED SHRIMP hits different 🦐🧈🔥
Anong ulam mo today? 😋

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaEvo #ButteredShrimp #HomeCookingPH #FoodContentPH #FoodVibes #FollowUs Juan365 Studios  Juan365","BUTTERED SHRIMP hits different 🦐🧈🔥
Anong ulam mo today? 😋

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaEvo #ButteredShrimp #HomeCookingPH #FoodContentPH #FoodVibes #FollowUs @[61578179424678:2048:Juan365 Studios]  @[61572881214141:2048:Juan365]",21,1/11/2026 19:00,uploaded,https://www.facebook.com/reel/1932300197643735/,1,0,Videos,,,,,Lifetime,369,264,19,14,4,1,,5,,5,,2052.233,7.15,0,0,0,
1.22112E+17,6.15844E+13,Juankada Evo,"Here's my song cover of DATING TAYO😇

FOLLOW and SHARE

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend #VibesOnly #JuankadaEvo  #ReelsPH #musiclover #songcover #Datingtayo #TJMonterde Juan365  Juan365 Studios","Here's my song cover of DATING TAYO😇

FOLLOW and SHARE

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend #VibesOnly #JuankadaEvo  #ReelsPH #musiclover #songcover #Datingtayo #TJMonterde @[61572881214141:2048:Juan365]  @[61578179424678:2048:Juan365 Studios]",107,1/12/2026 0:00,uploaded,https://www.facebook.com/reel/892757089765090/,1,0,Videos,,,,,Lifetime,269,177,25,18,5,2,,6,,6,,2924.584,13.539,0,0,0,
1.22112E+17,6.15844E+13,Juankada Evo,"My favorite tea to take care of my voice ❤️ GINGER HONEY LEMON made by truly yours!

Would you try this?

Follow the page for more mini vlogs!

#Juan365Studios #Juan365 #ALLINJUANLIVE #juankadahosts #trendingnow #juankadaevo #minivlogph #honeylemonginger #CalmMoments Juan365 Studios Juan365","My favorite tea to take care of my voice ❤️ GINGER HONEY LEMON made by truly yours!

Would you try this?

Follow the page for more mini vlogs!

#Juan365Studios #Juan365 #ALLINJUANLIVE #juankadahosts #trendingnow #juankadaevo #minivlogph #honeylemonginger #CalmMoments @[61578179424678:2048:Juan365 Studios] @[61572881214141:2048:Juan365]",56,1/12/2026 15:19,N/A,https://www.facebook.com/reel/711907901799140/,0,0,Videos,,,,,Lifetime,230,174,18,14,2,2,,5,,5,,2577.192,13.564,0,0,0,
1.22112E+17,6.15844E+13,Juankada Evo,"COLOR GAME LIVE NOW! 🎨🔥
Humanda ka na sa panibagong swerte at panalong vibes? 😎

#Juan365Studios #Juan365 #ALLINJUANLIVE #juankadahosts #trendingnow #juankadaevo  #colorgamelive #allinsasaya #GamingPH #livenow",,0,1/12/2026 16:44,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02KC8fekzcPurtpLABsscdhjeS38VNDDrWZmxWLqmqSXz3ZmfR9fstF4KifsPS8YmEl&id=61584432221426,0,0,Photos,,,,,Lifetime,343,149,23,17,3,3,,7,2,5,,,,,,,
1.22112E+17,6.15844E+13,Juankada Evo,"Pass tayo sa NONCHALANT dun tayo sa umiiyak pag hindi nakikiss 😆, I GOT YOU BABE!😉💋

 #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend #JuankadaEvo #foryoupage #dontmatter #relateable #filipino #contentcreator Juan365 Juan365 Studios","Pass tayo sa NONCHALANT dun tayo sa umiiyak pag hindi nakikiss 😆, I GOT YOU BABE!😉💋

 #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend #JuankadaEvo #foryoupage #dontmatter #relateable #filipino #contentcreator @[61572881214141:2048:Juan365] @[61578179424678:2048:Juan365 Studios]",16,1/13/2026 3:00,N/A,https://www.facebook.com/reel/772904279154430/,1,0,Videos,,,,,Lifetime,335,200,26,16,5,5,,8,,8,,2079.232,8.81,0,0,0,
1.22112E+17,6.15844E+13,Juankada Evo,"The colors are ROLLING🎨🔥
COLOR GAME LIVE right now!

Comment your LUCKY COLOR

#Juan365Studios #Juan365 #ALLINJUANLIVE #juankadahosts #juankadaevo #fypシ #colorgamelive #gamingvibesph",,0,1/13/2026 15:24,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02Lb4JJwFcKQKGPyebEykyHjvVJpLzhpWG8Fawkgv4JeK15i975nigwtV8g1dGuq17l&id=61584432221426,0,0,Photos,,,,,Lifetime,808,330,14,11,1,2,,15,10,5,,,,,,,
1.22112E+17,6.15844E+13,Juankada Evo,"Baby, hindi ka pang STREETS! 😌
PANG AKIN KA! 😎

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend #JuankadaEvo #syntetiko #foryoupage #fyp","Baby, hindi ka pang STREETS! 😌
PANG AKIN KA! 😎

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #trend #JuankadaEvo #syntetiko #foryoupage #fyp",14,1/14/2026 2:00,uploaded,https://www.facebook.com/reel/1369828297672883/,1,0,Videos,,,,,Lifetime,424,212,25,16,4,5,,22,,22,,2682.422,9.614,0,0,0,
