"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Link Clicks"
122110442799144249,61584327477246,"Juankada Alexchoozy","NANDITO AKO 🥰","“Ngunit ganun pa man, nais kong malaman mo, Ang puso kong ito’y para lang sayo”

Sabado-Oke tayo Juankada, sa Lunes, kakantahan ko ulit kayo. Miss you all 🥰

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",41,"01/03/2026 00:31",N/A,https://www.facebook.com/reel/1446191056864412/,0,0,Videos,,,,,Lifetime,187,126,18,15,2,1,5,5,,1317.192,9.408,0,0,0
122110410405144249,61584327477246,"Juankada Alexchoozy","Hi Juankada, today is my restday pero di tayo titigil to give FUN and SHARE our Talent to everyJUAN. Sharing you some clips from my Hosting Gig. See you all on Monday 🥰 

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes","Hi Juankada, today is my restday pero di tayo titigil to give FUN and SHARE our Talent to everyJUAN. Sharing you some clips from my Hosting Gig. See you all on Monday 🥰 

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",78,"01/02/2026 18:50",N/A,https://www.facebook.com/reel/962830533003582/,0,0,Videos,,,,,Lifetime,187,112,29,19,9,1,8,8,,1794.157,12.288,0,0,0
122110408779144249,61584327477246,"Juankada Alexchoozy","Juankada Alexchoozy updated his cover photo.",,0,"01/02/2026 18:39",N/A,https://www.facebook.com/photo.php?fbid=122110408779144249&set=a.122095215045144249&type=3,0,0,Photos,,,,,Lifetime,2,1,22,20,2,0,0,,,,,,,
122110228887144249,61584327477246,"Juankada Alexchoozy","𝗙𝗶𝗿𝘀𝘁 𝗧𝗚𝗜𝗙 𝗳𝗼𝗿 𝟮𝟬𝟮𝟲! Let’s make this day 𝐂𝐎𝐋𝐎𝐑𝐅𝐔𝐋 and 𝐖𝐎𝐍𝐃𝐄𝐑𝐅𝐔𝐋 🥰🌈

Catch me here in 𝐂𝐨𝐥𝐨𝐫 𝐆𝐚𝐦𝐞 𝐋𝐢𝐯𝐞 from 6AM–2PM! See you, mga Ka-Chooziness 🧡💙

#TGIF2026 #ColorGameLive #Juan365PH #KaChooziness #JuankadaVibes #ColorfulDay #AllInJuanLive #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness","𝗙𝗶𝗿𝘀𝘁 𝗧𝗚𝗜𝗙 𝗳𝗼𝗿 𝟮𝟬𝟮𝟲! Let’s make this day 𝐂𝐎𝐋𝐎𝐑𝐅𝐔𝐋 and 𝐖𝐎𝐍𝐃𝐄𝐑𝐅𝐔𝐋 🥰🌈

Catch me here in 𝐂𝐨𝐥𝐨𝐫 𝐆𝐚𝐦𝐞 𝐋𝐢𝐯𝐞 from 6AM–2PM! See you, mga Ka-Chooziness 🧡💙

#TGIF2026 #ColorGameLive #Juan365PH #KaChooziness #JuankadaVibes #ColorfulDay #AllInJuanLive #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness",29,"01/01/2026 20:01",N/A,https://www.facebook.com/reel/1170557828398733/,0,0,Videos,,,,,Lifetime,160,118,8,8,0,0,4,4,,862.885,6.741,0,0,0
122107066131170300,61585109026232,"Juankada Charm","✨ Hi Lucky Charms! ✨

I’m with Juankada Lance and Juankada Evo 😎
Samahan niyo kami mag-LIVE sa JUAN365 App & Website 🔥
1/365: The First Step!

Juankada, ready na ba kayo sa journey? 😎
Comment ""Ready"" ❤

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",,0,"01/01/2026 06:15",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid024Y2SoVUBuCxPt1iAwsYaeBPEdarqgDZ7YGKTuZrJn9kyKSCdjLKhgzgR4DfbU8Axl&id=61585109026232,0,0,Photos,,,,,Lifetime,685,258,54,51,0,3,27,12,15,,,,,,
122107103499170300,61585109026232,"Juankada Charm","Hi Lucky Charms! ✨

Fit check muna tayo  magbigay ng unlimited lucky charms sainyo! 😘

Kita-kits tayo later sa Color Game Live ng Juan365 Studios! 

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",,0,"01/01/2026 09:40",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02ftt8VPdukjiFroeNARx4ndAWwEeq3UkqBPqrPve7Bj9baRWc3UDcDKUvK5GrvrLgl&id=61585109026232,0,0,Photos,,,,,Lifetime,116,42,8,7,0,1,4,2,2,,,,,,
122107162737170300,61585109026232,"Juankada Charm","✨ Your Lucky Charm is working!✨

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",,0,"01/01/2026 17:29",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0N9gnySGtPcGU9L2utTfqSEWmPfyfDsbPRqmycXuPxbPhNgsKvF9JRNEegn8wDkFil&id=61585109026232,0,1,Text,,,,,Lifetime,,33,3,3,0,0,11,11,,,,,,,
122107192407170300,61585109026232,"Juankada Charm","✨Hi Lucky Charms!✨

Trying something new para sa salubong ng 2026! 🥶

Bagay ba ang ganitong OOTD para sainyong Lucky Charm? 

Comment your thoughts Juankada! 😘

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Hi Lucky Charms!✨

Trying something new para sa salubong ng 2026! 🥶

Bagay ba ang ganitong OOTD para sainyong Lucky Charm? 

Comment your thoughts Juankada! 😘

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",14,"01/01/2026 20:00",N/A,https://www.facebook.com/reel/865463389225843/,0,0,Videos,,,,,Lifetime,179,121,10,9,1,0,4,4,,684.101,4.717,0,0,0,
122107226871170300,61585109026232,"Juankada Charm","✨Lucky Charms!✨

Focus sa goal ngayong 2026, pero hindi masamang maging crush ng bayan on the side, charot! 😘

Drop a ""💖"" para sa ating new goals and missions this year!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Lucky Charms!✨

Focus sa goal ngayong 2026, pero hindi masamang maging crush ng bayan on the side, charot! 😘

Drop a ""💖"" para sa ating new goals and missions this year!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",16,"01/02/2026 00:31",N/A,https://www.facebook.com/reel/1171128538522846/,0,0,Videos,,,,,Lifetime,124,71,11,9,1,1,5,5,,675.163,7.419,0,0,0,
122107437015170300,61585109026232,"Juankada Charm","✨Hi Lucky Charms!✨

BTS natin from last night: Awra muna before live natin kagabi 😘

Gusto niyo pa ba makakita ng other BTS content natin? Let me know! 🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Hi Lucky Charms!✨

BTS natin from last night: Awra muna before live natin kagabi 😘

Gusto niyo pa ba makakita ng other BTS content natin? Let me know! 🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",16,"01/02/2026 22:47",N/A,https://www.facebook.com/reel/1593284341866766/,0,0,Videos,,,,,Lifetime,168,94,13,9,4,0,7,7,,1047.878,9.44,0,0,0,
