Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Total clicks,Other Clicks,Link Clicks,Matched Audience Targeting Consumption (Photo Click),Approximate content monetization earnings,Negative feedback from users: Hide all,Ad CPM (USD),Ad impressions
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/14/2026 3:35,N/A,https://www.facebook.com/reel/1673548960747318/,0,0,Videos,,,,,Lifetime,274,166,29,25,3,1,1714.657,8.884,0,16,16,,,0,,0,0
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Looking so sweet 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Looking so sweet 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/14/2026 20:42,N/A,https://www.facebook.com/reel/2025623075028589/,0,0,Videos,,,,,Lifetime,851,265,50,33,7,10,3871.276,5.992,0,19,19,,,0,,0,0
1.22189E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,15,2/15/2026 3:28,N/A,https://www.facebook.com/reel/928548366531327/,0,0,Videos,,,,,Lifetime,238,133,23,21,2,0,1786.242,11.598,0,23,23,,,0,,0,0
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Ready na ‘ko sa saya at swerte! Join na sa Color Game live, Kikays! 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,2/15/2026 21:36,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0QRRESFwprsxSWZBgrxQMeVmNCSu2x2KjnXkd38ViqY1SywvJbSC1r892qpbCboVzl,0,0,Photos,,,,,Lifetime,602,244,23,18,5,0,,,,74,17,,57,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,11,1/31/2026 3:06,N/A,https://www.facebook.com/reel/1440787857457409/,1,0,Videos,,,,,Lifetime,1515,779,75,69,2,4,6324.458,5.328,0,19,19,,,0,,0,0
1.22111E+17,6.15856E+13,JuanKada Star,"Slayin’ in Purple 💜

Don’t miss it, watch me 𝐋𝐈𝐕𝐄 𝐍𝐎𝐖 sa 𝐂𝐨𝐥𝐨𝐫 𝐆𝐚𝐦𝐞! 👀

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,1/31/2026 0:04,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0AVovbXgTZwfKmgHfHZPk5D2pLBEvMbFx8yzcA8keW1R2sF6MPyvLyBcQ2MjCFyWFl,0,0,Photos,,,,,Lifetime,2387,1124,60,48,6,6,,,,172,41,,131,0,,,
1.22115E+17,6.15856E+13,JuanKada Star,❤️‍🔥,"Pwede bang sa akin lang kayo maaakit, Star Babies? 🥹

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreels",16,2/15/2026 20:00,N/A,https://www.facebook.com/reel/2125198938251213/,1,0,Videos,,,,,Lifetime,1132,173,32,22,5,5,1342.156,3.598,0,15,15,,,0,,0,0
1.22115E+17,6.15856E+13,JuanKada Star,❤️,"Put me in Chanel 💍

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights",17,2/15/2026 5:01,N/A,https://www.facebook.com/reel/1623586882315313/,1,0,Videos,,,,,Lifetime,1142,80,20,10,5,5,871.33,2.904,0,12,12,,,0,,0,0
1.22115E+17,6.15856E+13,JuanKada Star,Closer,"Ain't never getting older 😍

Tiktok break muna with Juankada Host Zia ❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",18,2/15/2026 3:00,N/A,https://www.facebook.com/reel/2106216640130912/,1,0,Videos,,,,,Lifetime,1535,451,28,21,7,0,2652.63,3.976,0,23,23,,,0,,0,0
1.22115E+17,6.15856E+13,JuanKada Star,Walang reaksyon ganto naba pag wala ng kinakatakutan? ✌️😆🤣,,0,2/15/2026 2:21,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0CekFxcjjTrBeSoFVJ4Eh3WoUfcBU4q8TjYXeqVfio1HLXW91RmYJY6fhwsxACcZPl,0,1,Videos,,,,,Lifetime,68,60,10,8,2,0,,,,4,4,,,0,,,
