Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Matched Audience Targeting Consumption (Video Click)
1.18866E+15,1.00069E+14,Juankada Zia,"Slight throwback tayo, Zianatics🤭

Miss Independent is in the house!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Slight throwback tayo, Zianatics🤭

Miss Independent is in the house!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",12,1/23/2026 23:00,N/A,https://www.facebook.com/reel/901193936170152/,0,0,Videos,,,,,Lifetime,531,200,39,27,11,1,26,26,,,0,3102.23,8.036,0,0,0,,
1.18878E+15,1.00069E+14,Juankada Zia,,,0,1/23/2026 21:49,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02qvLebrkMthQBxWkdSukXJhhtPHsG2E2JfsscAJrYBzT9whCAQnAuRTe9kch9Tiwkl&id=100068698221421,0,1,Text,,,,,Lifetime,47,42,5,5,0,0,6,6,,,0,,,,,,,
1.18796E+15,1.00069E+14,Juankada Zia,"Dance skills on point, Zianatics!💃

Agree ba kayong pwede na kami ni @JuankadaTanya maging new members ng SexBomb Girls?💖🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Dance skills on point, Zianatics!💃

Agree ba kayong pwede na kami ni @JuankadaTanya maging new members ng SexBomb Girls?💖🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",13,1/23/2026 4:00,N/A,https://www.facebook.com/reel/859599930245352/,0,0,Videos,,,,,Lifetime,451,212,20,18,1,1,6,6,,,0,2552.751,7.508,0,0,0,,
1.18796E+15,1.00069E+14,Juankada Zia,"Our OOTD for today's live!😘

Tune in with me, @JuankadaStar, and @JuankadaEvo this FriYay's Color Game Live!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",,0,1/23/2026 1:00,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02yEqc8PmEdEJLV7ZGE7LCNcH3fvaNUgy3qhz8UJSL8TSB9vVRNb37Sd7Dwn9DmFw4l&id=100068698221421,0,0,Photos,,,,,Lifetime,509,246,14,12,1,1,35,9,26,,0,,,,,,,
1.18796E+15,1.00069E+14,Juankada Zia,"Kahit anong mangyari, hindi ako mawawalan ng pag-asa. 🫡

Dapat kayo din Zianatics ah!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Kahit anong mangyari, hindi ako mawawalan ng pag-asa. 🫡

Dapat kayo din Zianatics ah!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",16,1/22/2026 22:00,N/A,https://www.facebook.com/reel/1660361891989076/,0,0,Videos,,,,,Lifetime,169,83,15,14,0,1,3,3,,,0,604.114,4.377,0,0,0,,
1.18717E+15,1.00069E+14,Juankada Zia,"Just keep smiling, Zianatics!😁

Alam niyo ba na you look 10x more beautiful when you smile?

Tune in sa Color Game Live ng Juan365 Studios!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",,0,1/22/2026 5:00,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0LDzERa5nAew11PyZqQBGEdT9b5pbvJGJAXnhSszgoAXTeFEWEkLtuUJvikdNAmAal&id=100068698221421,0,0,Photos,,,,,Lifetime,170,71,12,10,2,0,2,,2,,0,,,,,,,
1.18717E+15,1.00069E+14,Juankada Zia,"Nakanood ba ang aking Zianatics sa ating live?🤔

Stay tuned for more kulitan and good vibes!

Keep being confident, sexy, and beautiful, my Zianatics!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Nakanood ba ang aking Zianatics sa ating live?🤔

Stay tuned for more kulitan and good vibes!

Keep being confident, sexy, and beautiful, my Zianatics!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",31,1/22/2026 1:00,N/A,https://www.facebook.com/reel/1956517649076479/,0,0,Videos,,,,,Lifetime,1034,270,80,66,13,1,22,22,,,0,9417.563,12.391,0,0,0,,
1.18717E+15,1.00069E+14,Juankada Zia,"💖Hi Zianatics!💖

Hindi pa tapos ang ating BTS content from our shoot from the other day!📸📷

Cutesy outfit, don't you guys agree?

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","💖Hi Zianatics!💖

Hindi pa tapos ang ating BTS content from our shoot from the other day!📸📷

Cutesy outfit, don't you guys agree?

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",32,1/21/2026 22:00,N/A,https://www.facebook.com/reel/1581582189782353/,0,0,Videos,,,,,Lifetime,216,93,18,15,2,1,8,8,,,0,1349.85,7.94,0,0,0,,
1.1864E+15,1.00069E+14,Juankada Zia,"Am I not cute anymore? 🥺

Agree ba kayo, Zianatics?

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Am I not cute anymore? 🥺

Agree ba kayo, Zianatics?

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",12,1/21/2026 2:00,N/A,https://www.facebook.com/reel/4152892258357918/,0,0,Videos,,,,,Lifetime,212,125,9,5,4,0,3,3,,,0,1070.985,7.045,0,0,0,,
1.1864E+15,1.00069E+14,Juankada Zia,"Slight BTS from yesterday's photoshoot! 📸📷

Do my Zianatics love the corporate girlie fit? 👩‍💼

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",,0,1/21/2026 0:00,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid08bPzGvj1U73axrvWr3CHwCTvBBz3HDAagwrktVfUX1TZDoywvZexmorVmRTzjzCEl&id=100068698221421,0,0,Photos,,,,,Lifetime,438,210,14,13,0,1,15,1,14,,0,,,,,,,
