Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Link Clicks,Negative feedback from users: Hide all,Negative feedback from users: Hide
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Igala mo naman sarili mo minsan, wag puro trabaho 😊😎

See you tomorrow Joekadaaa 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe",,0,2/24/2026 6:08,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02hm2ofSAEy52ytZ32jDFLuvgjgbaV1Aiu24N3YdQNDA1mjReMQpWBwd1tY9H2W17Ll&id=61584233476725,0,0,Photos,,,,,Lifetime,187,68,45,44,1,0,5,2,3,0,,,,,,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Kung ako ang dice anong kulay ako at san mo ko gusto pagulungin? 🤣😅

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe",,0,2/23/2026 6:28,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02hDuZZg4UP6mcNpYDj8UM4KyybxaxkW6n1WoPAhpzFHKUGkMzERykc1xVtmx9eUe8l&id=61584233476725,0,0,Photos,,,,,Lifetime,213,95,11,10,1,0,4,2,2,0,,,,,,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Bawat outfit ba ni Papa Joe nakita mo sa live. Pa rate naman dyan 😁🥰 

See you on Wednesday Joekadaaaa 🎲 💙🧡

#juankadahosts #Juan365PH #JuankadaPapaJoe","Bawat outfit ba ni Papa Joe nakita mo sa live. Pa rate naman dyan 😁🥰 

See you on Wednesday Joekadaaaa 🎲 💙🧡

#juankadahosts #Juan365PH #JuankadaPapaJoe",23,2/23/2026 5:39,N/A,https://www.facebook.com/reel/1474713724096658/,0,0,Videos,,,,,Lifetime,3605,83,56,55,1,0,4,4,,0,1095.213,1.396,0,0,0,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Happy moments 😎🥰🫰🏻 Labyu Juankadasss! 🎲 

 #juankadahosts #fypageシ #JuankadaPapaJoe","Happy moments 😎🥰🫰🏻 Labyu Juankadasss! 🎲 

 #juankadahosts #fypageシ #JuankadaPapaJoe",35,2/22/2026 7:54,N/A,https://www.facebook.com/reel/1914232916150095/,0,0,Videos,,,,,Lifetime,4563,621,189,188,1,0,5,5,,0,2114.725,1.511,0,0,0,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"See you all guys sa pag balik ko Wednesday Midshift na muna tayo 2pm - 10pm 🎲 🥰🫰🏻

#juankadahosts #fypageシ #JuankadaPapaJoe",,0,2/22/2026 7:44,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0EMNT2d8w3xWg3uNkWAJjpqYe3GMy8sp2sSU3fHu7dUVA5cc7bCr9pArWK5rRyKGYl&id=61584233476725,0,0,Photos,,,,,Lifetime,184,79,11,8,2,1,8,5,3,0,,,,,,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"isang pihit nalang triple na! Nakaka excite ang mga sitwasyong ganto 🤩🤯😎

Kaya tara maki saya habang nag lalaro at manalo 🫶🏻 

#juankadahosts #JuankadaPapaJoe #fypageシ","isang pihit nalang triple na! Nakaka excite ang mga sitwasyong ganto 🤩🤯😎

Kaya tara maki saya habang nag lalaro at manalo 🫶🏻 

#juankadahosts #JuankadaPapaJoe #fypageシ",16,2/22/2026 3:39,N/A,https://www.facebook.com/reel/1136508438491047/,0,0,Videos,,,,,Lifetime,4013,69,39,39,0,0,1,1,,0,1295.684,1.513,0,0,0,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Just a guy and his vibe. 😌

#JuankadaPapaJoe #fypageシ #fbreelsfypシ゚","Just a guy and his vibe. 😌

#JuankadaPapaJoe #fypageシ #fbreelsfypシ゚",14,2/21/2026 2:35,N/A,https://www.facebook.com/reel/1491500062469436/,1,0,Videos,,,,,Lifetime,4970,99,38,38,0,0,0,,,0,1142.36,1.059,0,0,0,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Simple. Neat. Effortless. 🤍✨

#JuankadaPapaJoe #fypageシ #whiteisbeautiful",,0,2/21/2026 1:35,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid04pL8WKADnnNwMJa9a695qRA46R3AUAhAQboSBC9GDFfDvSVNyAhFs6f2JNBvSRpMl&id=61584233476725,0,0,Photos,,,,,Lifetime,345,155,82,77,4,1,25,18,7,0,,,,,,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"May PAG-ASA paba? 🥺🤣 
 
Tara samahan niyo kami ngayon 6am - 2pm sa Color Game Live 🎲 search our website on your browser 👉🏻👉🏻👉🏻 Juan365. Org or Download our Mobile Application on the App Store (Juan365) 😊

#Juan365Studios #ALLINJUANLIVE #JuankadaPapaJoe #JuankadaHosts #Juan365 #fbreelsfypシ","May PAG-ASA paba? 🥺🤣 
 
Tara samahan niyo kami ngayon 6am - 2pm sa Color Game Live 🎲 search our website on your browser 👉🏻👉🏻👉🏻 Juan365. Org or Download our Mobile Application on the App Store (Juan365) 😊

#Juan365Studios #ALLINJUANLIVE #JuankadaPapaJoe #JuankadaHosts #Juan365 #fbreelsfypシ",16,2/20/2026 20:57,N/A,https://www.facebook.com/reel/789758520235589/,0,0,Videos,,,,,Lifetime,5814,101,81,78,2,1,4,4,,0,1823.39,1.391,0,0,0,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Let’s enjoy life and make every day worth it! 🥰
 
Tara samahan niyo kami ngaoyon 6am - 2pm sa Color Game Live 🎲 search our website on your browser 👉🏻👉🏻👉🏻 Juan365. Org or Download our Mobile Application on the App Store (Juan365) 😊

#Juan365Studios #ALLINJUANLIVE #JuankadaPapaJoe #JuankadaHosts #Juan365 #fbreelsfypシ","Let’s enjoy life and make every day worth it! 🥰
 
Tara samahan niyo kami ngaoyon 6am - 2pm sa Color Game Live 🎲 search our website on your browser 👉🏻👉🏻👉🏻 Juan365. Org or Download our Mobile Application on the App Store (Juan365) 😊

#Juan365Studios #ALLINJUANLIVE #JuankadaPapaJoe #JuankadaHosts #Juan365 #fbreelsfypシ",10,2/19/2026 18:16,N/A,https://www.facebook.com/reel/2061399067768673/,0,0,Videos,,,,,Lifetime,5927,117,51,49,2,0,2,2,,0,1533.459,1.19,0,0,0,,,
