Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Approximate content monetization earnings,Negative feedback from users: Hide all,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Link Clicks
1.22114E+17,6.15856E+13,JuanKada Star,Sumama kana! 🫶🏻,"Tara na, Star babies! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",20,2/13/2026 5:02,N/A,https://www.facebook.com/reel/2131723634228194/,1,0,Videos,,,,,Lifetime,1363,255,46,35,7,4,22,22,,0,,2321.951,4.787,0,0,0,
1.22114E+17,6.15856E+13,JuanKada Star,😘,"Sinong gusto ng kiss ko dyan? 🥰😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #higlights #fbreelsvideo",9,2/13/2026 3:00,N/A,https://www.facebook.com/reel/1880794679209275/,1,0,Videos,,,,,Lifetime,1150,84,19,14,3,2,7,7,,0,,701.571,2.3,0,0,0,
1.22114E+17,6.15856E+13,JuanKada Star,"Serving looks in red ❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights",,0,2/12/2026 20:00,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0ctwDWw4jJs7WcEghBHTEPad3DNCn3zDyLRAHk4c8Kr7gWybDFvXLnA94LeQQVWp6l,0,0,Photos,,,,,Lifetime,1466,660,74,58,10,6,153,40,113,0,,,,,,,
1.22114E+17,6.15856E+13,JuanKada Star,Arat na star babies until 2pm ⭐️,,0,2/12/2026 18:22,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02wa5chmdKSw6VTS1AFJ6CxjLKZZWw5NnQ5CzSNFxEyVvbVY2xofA1zYi7Drboq15dl,0,1,Photos,,,,,Lifetime,158,67,11,10,1,0,7,2,5,0,,,,,,,
1.22114E+17,6.15856E+13,JuanKada Star,🧋,"Quick escape from work with Mam Jess and Juankada Host Jedi! 🫶

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreelsvideo",28,2/12/2026 5:00,N/A,https://www.facebook.com/reel/1912443939370949/,1,0,Videos,,,,,Lifetime,1147,105,14,9,2,3,3,3,,0,,1009.035,3.153,0,0,0,
1.22114E+17,6.15856E+13,JuanKada Star,Congratulations to all winners ✨️🎉🫶,,0,2/12/2026 4:34,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0tDgpnF6eP5wszTTzyCBAh6neBnsF8nC4hpUF1YC1rSSSaKiuAAuivn5duSyY42h8l,0,1,Photos,,,,,Lifetime,345,129,25,16,9,0,33,25,8,0,,,,,,,
1.22114E+17,6.15856E+13,JuanKada Star,X150 🤑,"Shoutout to all my sexy, Star Babies! 💋

Tune in lang lagi sa Color Game live! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreelsvideo",18,2/12/2026 3:00,N/A,https://www.facebook.com/reel/1431980805008009/,1,0,Videos,,,,,Lifetime,1208,138,22,14,3,5,10,10,,0,,1267.719,3.561,0,0,0,
1.22114E+17,6.15856E+13,JuanKada Star,🤟🏻,"Just another day, just another slay 💃

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreelsvideo",17,2/11/2026 20:00,N/A,https://www.facebook.com/reel/1957162514879049/,1,0,Videos,,,,,Lifetime,1289,239,23,14,5,4,7,7,,0,,1312.633,3.031,0,0,0,
1.22114E+17,6.15856E+13,JuanKada Star,🧡🤍,"Orange vibes, starry skies ✨🧡 Bringing the sunshine wherever I go!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreelsfypシ゚",19,2/11/2026 5:00,N/A,https://www.facebook.com/reel/1284430756885395/,1,0,Videos,,,,,Lifetime,1296,221,34,25,5,4,6,6,,0,,2080.597,4.654,0,0,0,
1.22114E+17,6.15856E+13,JuanKada Star,"Olive mood 💚

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights",,0,2/11/2026 3:00,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0NpUpEZ2WydbcDAvAvSbGXFowLNgFE3s8La7m6zkzVUiSVGPxQBNNmrcQfHs14uuql,0,0,Photos,,,,,Lifetime,354,171,32,23,4,5,19,12,7,0,,,,,,,
