Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Link Clicks
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Can you be my big guy?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Can you be my big guy?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",12,2/7/2026 2:33,uploaded,https://www.facebook.com/reel/3235295393317978/,0,0,Videos,,,,,Lifetime,1859,494,95,83,6,6,136,,136,0,11979.92,10.49,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"I-heart niyo ’to kung gusto niyo akong humarap 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","I-heart niyo ’to kung gusto niyo akong humarap 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",20,2/6/2026 19:01,N/A,https://www.facebook.com/reel/1469733324493375/,1,0,Videos,,,,,Lifetime,1471,450,80,71,7,2,67,,67,0,11568.74,11.409,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Twinning with Juankada Host Sabbie! 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Twinning with Juankada Host Sabbie! 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/6/2026 2:39,N/A,https://www.facebook.com/reel/763771716307540/,0,0,Videos,,,,,Lifetime,723,464,35,31,4,0,26,,26,0,5144.025,9.988,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Take me on a date? 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Take me on a date? 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",13,2/5/2026 19:00,N/A,https://www.facebook.com/reel/3980741358884919/,1,0,Videos,,,,,Lifetime,1100,539,55,50,4,1,35,,35,0,6898.632,8.261,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Soft girl vibes lang 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Soft girl vibes lang 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/5/2026 2:01,N/A,https://www.facebook.com/reel/2665778017128713/,1,0,Videos,,,,,Lifetime,677,273,48,43,4,1,14,,14,0,4617.99,8.504,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Let’s take it slowly 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Let’s take it slowly 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/4/2026 19:00,N/A,https://www.facebook.com/reel/1691724915125863/,1,0,Videos,,,,,Lifetime,1043,587,62,52,8,2,41,,41,0,5683.501,6.782,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Bagay ba tayo? 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Bagay ba tayo? 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/4/2026 2:31,N/A,https://www.facebook.com/reel/852529014448826/,0,0,Videos,,,,,Lifetime,1901,1169,95,86,6,3,39,,39,0,12669.857,8.1,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Baby come over 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Baby come over 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/3/2026 21:20,N/A,https://www.facebook.com/reel/1802309527122874/,0,0,Videos,,,,,Lifetime,671,302,62,50,10,2,26,,26,0,3702.021,6.958,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Comment 🤍 kung napanood moto

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Comment 🤍 kung napanood moto

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",13,2/3/2026 3:16,N/A,https://www.facebook.com/reel/1548386326395651/,0,0,Videos,,,,,Lifetime,1655,407,115,98,11,6,81,,81,0,9872.229,8.577,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"I wanna… LOVE YOU! 😋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","I wanna… LOVE YOU! 😋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",18,2/2/2026 3:42,N/A,https://www.facebook.com/reel/894506406528525/,0,0,Videos,,,,,Lifetime,1086,390,90,80,6,4,36,,36,0,6315.442,7.509,0,0,0,,
