Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Matched Audience Targeting Consumption (Video Click)
1.2211E+17,6.15843E+13,Juankada Alexchoozy,"𝗙𝗶𝗿𝘀𝘁 𝗧𝗚𝗜𝗙 𝗳𝗼𝗿 𝟮𝟬𝟮𝟲! Let’s make this day 𝐂𝐎𝐋𝐎𝐑𝐅𝐔𝐋 and 𝐖𝐎𝐍𝐃𝐄𝐑𝐅𝐔𝐋 🥰🌈

Catch me here in 𝐂𝐨𝐥𝐨𝐫 𝐆𝐚𝐦𝐞 𝐋𝐢𝐯𝐞 from 6AM–2PM! See you, mga Ka-Chooziness 🧡💙

#TGIF2026 #ColorGameLive #Juan365PH #KaChooziness #JuankadaVibes #ColorfulDay #AllInJuanLive #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness","𝗙𝗶𝗿𝘀𝘁 𝗧𝗚𝗜𝗙 𝗳𝗼𝗿 𝟮𝟬𝟮𝟲! Let’s make this day 𝐂𝐎𝐋𝐎𝐑𝐅𝐔𝐋 and 𝐖𝐎𝐍𝐃𝐄𝐑𝐅𝐔𝐋 🥰🌈

Catch me here in 𝐂𝐨𝐥𝐨𝐫 𝐆𝐚𝐦𝐞 𝐋𝐢𝐯𝐞 from 6AM–2PM! See you, mga Ka-Chooziness 🧡💙

#TGIF2026 #ColorGameLive #Juan365PH #KaChooziness #JuankadaVibes #ColorfulDay #AllInJuanLive #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness",29,1/1/2026 20:01,N/A,https://www.facebook.com/reel/1170557828398733/,0,0,Videos,,,,,Lifetime,180,134,11,11,0,0,5,5,,,920.981,6.222,0,0,0,,
1.2211E+17,6.15843E+13,Juankada Alexchoozy,"Muli nating balikan ang makulay at masayang 𝑪𝒐𝒍𝒐𝒓 𝑮𝒂𝒎𝒆 kahapon! Isang solid na simula para sa unang araw ng 2026. Salamat Juankada sa walang kupas na saya at energy! 💖🔥

Comment kung nanuod ka | ❤️ React kung ready ulit!

#Juan365PH #ColorGame #JuankadaVibes #2026Start #AllInJuanLive #ColorfulDay #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness","Muli nating balikan ang makulay at masayang 𝑪𝒐𝒍𝒐𝒓 𝑮𝒂𝒎𝒆 kahapon! Isang solid na simula para sa unang araw ng 2026. Salamat Juankada sa walang kupas na saya at energy! 💖🔥

Comment kung nanuod ka | ❤️ React kung ready ulit!

#Juan365PH #ColorGame #JuankadaVibes #2026Start #AllInJuanLive #ColorfulDay #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness",55,1/1/2026 18:40,N/A,https://www.facebook.com/reel/2236221213568818/,0,0,Videos,,,,,Lifetime,184,118,13,12,0,1,3,3,,,1189.844,7.578,0,0,0,,
1.2211E+17,6.15843E+13,Juankada Alexchoozy,"𝐉𝐮𝐚𝐧𝟑𝟔𝟓 : 𝟏𝐬𝐭 𝐝𝐚𝐲 𝐨𝐟 𝟑𝟔𝟓 𝐝𝐚𝐲𝐬 (𝟏/𝟑𝟔𝟓)

Mga juankada at ka-chooziness! Sabay-sabay nating simulan paikutin ang ating kapalaran. Let’s start 2026 with full of Fun, Excitement and Good Vibes! 😎 

👉 Let’s make our lives 𝑪𝑶𝑳𝑶𝑹𝑭𝑼𝑳. 𝑫𝒐𝒖𝒃𝒍𝒆 𝒕𝒉𝒆 𝑭𝒖𝒏, 𝑻𝒓𝒊𝒑𝒍𝒆 𝒕𝒉𝒆 𝑬𝒙𝒄𝒊𝒕𝒆𝒎𝒆𝒏𝒕 with 𝑪𝑶𝑳𝑶𝑹𝑮𝑨𝑴𝑬 𝑳𝑰𝑽𝑬 only in 𝑱𝑼𝑨𝑵365.

#Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness! #1of365 #NewBeginnings #GoodVibesOnly #DayOne #FreshStart #TrendingNow",,0,12/31/2025 21:06,N/A,https://www.facebook.com/JuankadaAlexchoozyOfficialPage/posts/pfbid02t2yFJsQSwfpsFZAgEE3EMVgmNb8kd8naFL7Aq13RqESF1cn9AaZsg2HG17hEk8Xcl,0,0,Photos,,,,,Lifetime,1067,425,24,22,1,1,11,10,1,,,,,,,,
1.2211E+17,6.15843E+13,Juankada Alexchoozy,𝐖𝐞𝐥𝐜𝐨𝐦𝐞 𝟐𝟎𝟐𝟔!,"𝐌𝐠𝐚 𝐤𝐚-𝐂𝐡𝐨𝐨𝐳𝐢𝐧𝐞𝐬𝐬!🎉

Simulan natin ang 2026 nang COLORFUL at puno ng GAMEFUL moments!

Watch and play kasama kami sa COLORGAME LIVE, exclusively sa JUAN365! 💚💙❤️🤍💛🩷

𝐀𝐋𝐋 𝐢𝐧 𝐉𝐔𝐀𝐍 𝐬𝐚 𝐬𝐚𝐲𝐚! ✨

#ColorGameLive #GoodVibesOnly #Gameful2026 #KulitanTime #LiveFun #TrendingNow #JuanKada #EntertainmentPH #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness!",21,12/31/2025 18:00,N/A,https://www.facebook.com/reel/4321914381427900/,0,0,Videos,,,,,Lifetime,218,138,15,12,3,0,11,11,,,868.57,5.394,0,0,0,,
1.2211E+17,6.15843E+13,Juankada Alexchoozy,HAPPY NEW YEAR! WELCOME 2026!,"From your @[61584327477246:2048:Juankada Alexchoozy], mga Ka-Chooziness, Happy, Happy New Year! 🎉🥂 HELLO 2026! 

Follow me for more saya and good vibes this year! ❤️💙

#KaChooziness #Juankada #HappyNewYear #NewYearVibes #GoodVibesOnly #NewYearNewGoals #JuankadaVibes #GoalSetter #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy",53,12/31/2025 8:30,N/A,https://www.facebook.com/reel/2047573482733049/,0,0,Videos,,,,,Lifetime,202,145,19,19,0,0,9,9,,,1752.577,10.885,0,0,0,,
1.22107E+17,6.15851E+13,Juankada Charm,"Hi Lucky Charms! ✨

Nabigyan ba lahat ng saya at swerte sa ating live kagabi na hatid sainyo ng inyong Lucky Charm? Hopefully, YES! 

Drop a ""😘"" para sa mas madami pang lucky charms sa atin susunod na live!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","Hi Lucky Charms! ✨

Nabigyan ba lahat ng saya at swerte sa ating live kagabi na hatid sainyo ng inyong Lucky Charm? Hopefully, YES! 

Drop a ""😘"" para sa mas madami pang lucky charms sa atin susunod na live!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",19,12/31/2025 0:30,N/A,https://www.facebook.com/reel/1569905794052995/,0,0,Videos,,,,,Lifetime,137,99,14,14,0,0,3,3,,,931.511,9.222,0,0,0,,
1.22113E+17,6.15851E+13,Juankada Charm,"You need to get done done done🎵🎶

Sorry na! Na-LSS lang ako Lucky Charms!✨

Work work work tayo Lucky Charms ah!🫡

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","You need to get done done done🎵🎶

Sorry na! Na-LSS lang ako Lucky Charms!✨

Work work work tayo Lucky Charms ah!🫡

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",9,1/22/2026 4:00,N/A,https://www.facebook.com/reel/1790493931611875/,0,0,Videos,,,,,Lifetime,135,104,4,4,0,0,0,,,,511.154,4.732,0,0,0,,
1.22113E+17,6.15851E+13,Juankada Charm,"✨Hi there, Lucky Charms!✨

I just keep on slaying even with glasses on👓

20/20 ba ang vision niyo Lucky Charms pag nakikita niyo ako?🤭

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Hi there, Lucky Charms!✨

I just keep on slaying even with glasses on👓

20/20 ba ang vision niyo Lucky Charms pag nakikita niyo ako?🤭

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",9,1/22/2026 0:00,N/A,https://www.facebook.com/reel/1161861519352490/,0,0,Videos,,,,,Lifetime,70,42,8,7,1,0,4,4,,,260.567,5.109,0,0,0,,
1.22113E+17,6.15851E+13,Juankada Charm,"Who's the fairest?

Kapag ang sagot mo ay ""Us"", agree na agree ako diyan! 🤭

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","Who's the fairest?

Kapag ang sagot mo ay ""Us"", agree na agree ako diyan! 🤭

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",16,1/21/2026 21:00,N/A,https://www.facebook.com/reel/885384847533857/,0,0,Videos,,,,,Lifetime,41,30,7,6,1,0,2,2,,,147.85,4.106,0,0,0,,
1.22113E+17,6.15851E+13,Juankada Charm,"✨Lucky Charms!✨

Sasama ba kayo sakin pag pinahawak ko sainyo ang aking kamay?😘

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Lucky Charms!✨

Sasama ba kayo sakin pag pinahawak ko sainyo ang aking kamay?😘

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",16,1/21/2026 4:00,N/A,https://www.facebook.com/reel/1793309634666663/,0,0,Videos,,,,,Lifetime,63,36,10,7,2,1,6,6,,,360.806,7.843,0,0,0,,
1.22113E+17,6.15851E+13,Juankada Charm,"❗️LUCKY CHARMS!❗️

Ayan ikaw, ""never settle for less"" ka pa pero bibigay din naman 🤨

Tag niyo naman yung friend niyong isang chat lang, lalambot bigla 😜

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","❗️LUCKY CHARMS!❗️

Ayan ikaw, ""never settle for less"" ka pa pero bibigay din naman 🤨

Tag niyo naman yung friend niyong isang chat lang, lalambot bigla 😜

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",16,1/21/2026 0:00,N/A,https://www.facebook.com/reel/895756176176629/,0,0,Videos,,,,,Lifetime,91,35,10,5,3,2,9,9,,,702.988,13.784,0,0,0,,
1.22113E+17,6.15851E+13,Juankada Charm,"✨Lucky Charms!✨

With or without glasses, bebot pa din!😘

Agree ba ang lahat?🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Lucky Charms!✨

With or without glasses, bebot pa din!😘

Agree ba ang lahat?🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",12,1/20/2026 21:00,N/A,https://www.facebook.com/reel/756168587038692/,0,0,Videos,,,,,Lifetime,108,53,14,9,5,0,6,6,,,699.71,9.455,0,0,0,,
1.22112E+17,6.15851E+13,Juankada Charm,"✨Shout out sa mga gumigimik na Lucky Charms ko✨

Next time ambag na tayo more than our face card 😆

Tag mo naman kilala mong ang ambag ay face card lang! 

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Shout out sa mga gumigimik na Lucky Charms ko✨

Next time ambag na tayo more than our face card 😆

Tag mo naman kilala mong ang ambag ay face card lang! 

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",5,1/20/2026 1:00,N/A,https://www.facebook.com/reel/1605380533801095/,0,0,Videos,,,,,Lifetime,152,53,15,14,1,0,4,4,,,528.699,7.049,0,0,0,,
1.22112E+17,6.15851E+13,Juankada Charm,"✨Uy Lucky Charms!✨

Kape kayo nang kape! ☕️

Sana magkape-ra tayong lahat🤭 agree ba kayo?

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms","✨Uy Lucky Charms!✨

Kape kayo nang kape! ☕️

Sana magkape-ra tayong lahat🤭 agree ba kayo?

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaCharm #LuckyCharms",17,1/19/2026 21:00,N/A,https://www.facebook.com/reel/1447748920468939/,0,0,Videos,,,,,Lifetime,129,55,21,15,6,0,16,16,,,882.25,11.028,0,0,0,,
