Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Link Clicks
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Got murd3r on my mind ❤️‍🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Got murd3r on my mind ❤️‍🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,2/27/2026 20:26,N/A,https://www.facebook.com/reel/1610174150028267/,0,0,Videos,,,,,Lifetime,946,287,52,45,6,1,19,19,,4988.734,6.669,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"And I need you, and I miss youuuuu 🥹

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","And I need you, and I miss youuuuu 🥹

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/27/2026 3:09,N/A,https://www.facebook.com/reel/1242841817316590/,0,0,Videos,,,,,Lifetime,218,153,23,21,2,0,11,11,,984.746,5.595,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"I like you and you like me 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","I like you and you like me 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",12,2/26/2026 20:59,N/A,https://www.facebook.com/reel/1592817875390654/,0,0,Videos,,,,,Lifetime,247,163,15,13,2,0,16,16,,1094.984,5.918,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Sweet asian check

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Sweet asian check

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",11,2/26/2026 2:04,N/A,https://www.facebook.com/reel/1658110588948399/,0,0,Videos,,,,,Lifetime,268,168,24,22,2,0,14,14,,3168.35,16.675,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Serving looks while securing luck 😉

Ready ka na ba swertehin? Join na sa color game now!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",,0,2/25/2026 21:21,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0QXswRd4ZDd4LJrnws4DkTYRh6JTrAev6YLr1h2sAdkDHpz7mTXf2g58n2A4Dkpvxl,0,0,Photos,,,,,Lifetime,387,177,14,12,1,1,17,6,11,,,,,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Oh oh oh 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Oh oh oh 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",11,2/25/2026 3:30,N/A,https://www.facebook.com/reel/1734906357473617/,0,0,Videos,,,,,Lifetime,315,178,30,25,5,0,13,13,,1350.322,5.82,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay,27,2/24/2026 21:02,N/A,https://www.facebook.com/reel/1299952685524664/,0,0,Videos,,,,,Lifetime,750,449,46,39,7,0,36,36,,5827.684,10.03,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"thinking about you 24/7 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","thinking about you 24/7 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",7,2/24/2026 4:59,N/A,https://www.facebook.com/reel/886190137718103/,0,0,Videos,,,,,Lifetime,389,221,24,20,4,0,17,17,,1103.713,4.028,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Pwede ba kitang maging big guy? 🙈

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Pwede ba kitang maging big guy? 🙈

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",14,2/23/2026 20:02,N/A,https://www.facebook.com/reel/1245387370346112/,0,0,Videos,,,,,Lifetime,1300,337,57,50,4,3,34,34,,6548.87,6.908,0.01,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Just vibin’ and playin’ 🖤 Kamusta kayo Kikays? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Just vibin’ and playin’ 🖤 Kamusta kayo Kikays? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/23/2026 3:17,N/A,https://www.facebook.com/reel/1199258721981289/,0,0,Videos,,,,,Lifetime,630,203,38,33,3,2,9,9,,2679.598,5.123,0,0,0,,
