"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks",Views,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide all","Matched Audience Targeting Consumption (Photo Click)","Link Clicks"
122118078369013186,61580395595183,"Juana Babe Jam","Mga Juankada, ready na ba kayo? 👀
Live na tayo ngayon — tawanan guaranteed! 🤣

👉 Share the live at i-tag ang ka-Juan mo!",,0,"01/04/2026 03:08",N/A,https://www.facebook.com/JuanababeJam/posts/pfbid0x8vt2pt1JWWj3TybrbB8U8uC6voqhp4GT9hEUQsnkfFhH1sSjqozwxHAbqWr3vHnl,0,1,Live,,,,,Lifetime,97,6,6,0,0,32,32,,,,,,
122118049929013186,61580395595183,"Juana Babe Jam","Iba na ata tong nararamdaman ko para sainyo Jammies 🫣

Ingat po, baka mahulog ka din sana saakin ❤️

#JuanaBabeJam #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #Followme #trending #fyp #reels #Jammies","Iba na ata tong nararamdaman ko para sainyo Jammies 🫣

Ingat po, baka mahulog ka din sana saakin ❤️

#JuanaBabeJam #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #Followme #trending #fyp #reels #Jammies",13,"01/03/2026 20:09",N/A,https://www.facebook.com/reel/690581633991635/,0,0,Videos,,,,,Lifetime,538,89,64,17,8,25,25,694,3420.961,6.288,0,0,0
122117970507013186,61580395595183,"Juana Babe Jam","READY NA ANG SAYA, IKAW BA? 😎🔥
Live na live ang saya—tumutok na!
I-FOLLOW ang page Juana Babe Sena para updated sa lahat ng laro 🎉
Mas laro, mas saya—ALL IN NA!",,0,"01/03/2026 03:22",N/A,https://www.facebook.com/JuanababeJam/posts/pfbid0Kw9Ur8bFYKeYnwX4w1gVyHQps1azeKSDKht7S5MzF9gSt44vYsD2ts5Pp2diABKml,0,1,Live,,,,,Lifetime,104,10,8,2,0,16,16,,,,,,
122117965287013186,61580395595183,"Juana Babe Jam","Baka wala pang nagmamahal sa inyo ngayon, don’t worry—ako muna! 🤗

Every LIVE natin, punô ng good vibes, tawanan, at positibong energy! ✨”

React♥️Kung payag kayo Jammies       

#JuanaBabeJam #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #Followme #trending #fyp #reels #Jammies","Baka wala pang nagmamahal sa inyo ngayon, don’t worry—ako muna! 🤗

Every LIVE natin, punô ng good vibes, tawanan, at positibong energy! ✨”

React♥️Kung payag kayo Jammies       

#JuanaBabeJam #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #Followme #trending #fyp #reels #Jammies",15,"01/03/2026 02:00",N/A,https://www.facebook.com/reel/2367054533726103/,0,0,Videos,,,,,Lifetime,180,59,36,16,7,17,17,292,2127.872,11.691,0,0,0
122117944263013186,61580395595183,"Juana Babe Jam","Hello  Jammies!💜
2026 na, Here pa din ang inyong nag iisang Kakaibabe na mag hahatid ng good vibes! 😆✨

Huwag niyo akong iiwan sa LIVE, Juankada ha!☺️

Sama-sama pa rin tayo sa saya, kulitan, at positibong energy buong taon!😘 

#JuanaBabeJam #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #Followme #trending #fyp #reels #Jammies #Jambolicious","Hello  Jammies!💜
2026 na, Here pa din ang inyong nag iisang Kakaibabe na mag hahatid ng good vibes! 😆✨

Huwag niyo akong iiwan sa LIVE, Juankada ha!☺️

Sama-sama pa rin tayo sa saya, kulitan, at positibong energy buong taon!😘 

#JuanaBabeJam #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #Followme #trending #fyp #reels #Jammies #Jambolicious",12,"01/02/2026 20:03",N/A,https://www.facebook.com/reel/4391635261073527/,0,0,Videos,,,,,Lifetime,198,60,39,13,8,15,15,289,1340.932,6.738,0,0,0
122117518503012033,61580361006776,"Juana Babe Sena","𝐈𝐟 𝐭𝐡𝐢𝐬 𝐦𝐚𝐝𝐞 𝐲𝐨𝐮 𝐩𝐚𝐮𝐬𝐞 😏

Tap the ♥️ and follow!!

#Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #BabyGirlSena
#SenaBabes #FYP #TrendingPH #ForYouPage #PinoyCreators #ViralPH #ThirstTrap #FlirtyVibes #SoftTease #TapTheHeart #FeedCheck #TrendingPH #Confidence","𝐈𝐟 𝐭𝐡𝐢𝐬 𝐦𝐚𝐝𝐞 𝐲𝐨𝐮 𝐩𝐚𝐮𝐬𝐞 😏

Tap the ♥️ and follow!!

#Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #BabyGirlSena
#SenaBabes #FYP #TrendingPH #ForYouPage #PinoyCreators #ViralPH #ThirstTrap #FlirtyVibes #SoftTease #TapTheHeart #FeedCheck #TrendingPH #Confidence",15,"01/01/2026 00:00",N/A,https://www.facebook.com/reel/915324114163155/,0,0,Videos,,,,,Lifetime,295,36,31,4,1,9,9,368,1546.98,4.88,0,0,0,,,
122117878335012033,61580361006776,"Juana Babe Sena","JuanaBies Watch till the end ha 👀

Comment pag natawa ka at follow the page 💖

#ViralPH #FYP #FunnyReels #PinoyVibes #JuanaBabeSena #CommentYourThoughts #TagAFriend #Followme #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBies #SweetEnergy #DailyBeautyVibes","JuanaBies Watch till the end ha 👀

Comment pag natawa ka at follow the page 💖

#ViralPH #FYP #FunnyReels #PinoyVibes #JuanaBabeSena #CommentYourThoughts #TagAFriend #Followme #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBies #SweetEnergy #DailyBeautyVibes",16,"01/04/2026 17:00",N/A,https://www.facebook.com/reel/1596855644988036/,0,0,Videos,,,,,Lifetime,94,25,18,4,3,10,10,171,1206.383,14.192,0,0,0,,,
122117871993012033,61580361006776,"Juana Babe Sena","Tuloy-tuloy ang kasiyahan sa Juan365 Live Stream!

Let’s go, JuanaBies!! 🔥🥳

#juanabies #juan365live #livekulitan #AllInJuanSaSaya #trendingvideo",,0,"01/04/2026 04:25",N/A,https://www.facebook.com/JuanababeSena/posts/pfbid0ybZshtoLnmJpEmbFhPRdDh6sthJpUvxZjf33o5nGrSqwrfA8K9CXEzuEL6B6Atxul,0,1,Text,,,,,Lifetime,,,,,,4,4,,,,,,,,,
122117855613012033,61580361006776,"Juana Babe Sena","𝐏𝐚𝐬𝐚𝐫𝐚 𝐧𝐠𝐚 𝐧𝐠 𝐳𝐢𝐩𝐩𝐞𝐫! 𝐉𝐮𝐚𝐧𝐚𝐁𝐢𝐞𝐬!! 🤭

Smash ♥️ and comment kung kaya mong isara! 🥲🤣

 #JuanaBabeSena #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBies #SweetEnergy #DailyBeautyVibes #ZipChallenge #KulitanLang #GoodVibesOnly","𝐏𝐚𝐬𝐚𝐫𝐚 𝐧𝐠𝐚 𝐧𝐠 𝐳𝐢𝐩𝐩𝐞𝐫! 𝐉𝐮𝐚𝐧𝐚𝐁𝐢𝐞𝐬!! 🤭

Smash ♥️ and comment kung kaya mong isara! 🥲🤣

 #JuanaBabeSena #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBies #SweetEnergy #DailyBeautyVibes #ZipChallenge #KulitanLang #GoodVibesOnly",15,"01/04/2026 00:31",N/A,https://www.facebook.com/reel/904779285318192/,0,0,Videos,,,,,Lifetime,706,103,77,19,7,58,58,1082,6692.48,8.613,0,0,0,,,
122117797497012033,61580361006776,"Juana Babe Sena","If beauty was a crime, 𝐉𝐮𝐚𝐧𝐚𝐛𝐢𝐞𝐬. Tingin nyo gaano katagal akong makukulong? 🤭

Drop ♥️ and comment kung ipapakulong nyo ba 'ko 🥲🤣

#Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #BabyGirlSena
#SenaBabes #FYP #TrendingPH #ForYouPage #PinoyCreators #ViralPH","If beauty was a crime, 𝐉𝐮𝐚𝐧𝐚𝐛𝐢𝐞𝐬. Tingin nyo gaano katagal akong makukulong? 🤭

Drop ♥️ and comment kung ipapakulong nyo ba 'ko 🥲🤣

#Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #BabyGirlSena
#SenaBabes #FYP #TrendingPH #ForYouPage #PinoyCreators #ViralPH",39,"01/03/2026 20:00",N/A,https://www.facebook.com/reel/2180930152316074/,0,0,Videos,,,,,Lifetime,413,65,43,14,8,27,27,544,3749.168,8.08,0,0,0,,,
